date,region,cumulative (confirmed + probable + suspects),fatality rate for confirmed and probables,new admits to cte so far,new cases of confirmed,new cases of confirmed among health workers,new cases of probables,new cases of suspects,new contacts registered so far,new deaths registered,new deaths registered among health workers,new deaths registered today,new deaths registered today (confirmed),new deaths registered today (probables),new deaths registered today (suspects),number of confirmed cases among health workers,number of contacts followed today,number of contacts followed yesterday,number of contacts lost to follow up,number of contacts out of the track 21 days,number of contacts out of track,number of contacts to follow today,number of death of confirmed cases among health workers,number of deaths of confirmed cases among health workers,number of deaths of probables cases among health workers,number of female confirmed cases,number of female probables cases,number of female suspects cases,number of male confirmed cases,number of male probables cases,number of male suspects cases,number of patients tested,number of probables cases among health workers,number of samples collected,number of samples collected today,number of samples under test,number of suspects cases among health workers,total pec center today,total pec center today (confirmed),total pec center today (probables),total pec center today (suspects),total case of confirmed among health workers,total cases of confirmed,total cases of probables,total cases of suspects,total contacts registered from start date,total deaths (confirmed + probables + suspects),total deaths of confirmed,total deaths of probables,total deaths of suspects,total deaths registered among health workers,total new cases registered so far,total number of admissions to cte,total number of exits from cte,total number of female cases,total number of hospitalized cases in cte,total number of male cases,total of cured in confirmed cases in cte,total of deaths in confirmed cases in cte,total samples tested,total suspected non-class cases,$deaths,$new_cases
2014-08-30,dabola,4,1.0,0,,0,,,0,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1.0,3,0,69,4,1.0,3,0,0,0,0,0,,0,,,,,1,0.0,0.0
2014-08-30,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,dinguiraye,1,1.0,0,,0,,,0,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,0,0.0,1,0,0,1,0.0,1,0,0,0,0,0,,0,,,,,0,0.0,0.0
2014-08-30,dubreka,14,0.14,0,,0,,,0,,0,,,,,,154,,3,0,,157,,,,,,,,,,,,,,,,,,,,4,13.0,0,1,157,2,2.0,0,0,0,0,0,0,,0,,,,,5,1.0,5.0
2014-08-30,forecariah,7,0.43,0,,0,,,0,,0,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,0,5.0,0,2,0,3,3.0,0,0,0,0,0,0,,0,,,,,6,3.0,5.0
2014-08-30,gueckedou,317,0.85,4,3,0,,2,0,1,0,,,,,,221,,0,3116,,223,,,,,,,,,,,,,17,0,,,,,,8,211.0,102,4,3418,271,169.0,102,0,6,5,693,12,,55,,,,1058,205,3.0,4.0
2014-08-30,kerouane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,kissidougou,7,0.86,0,,0,,,0,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2.0,5,0,159,6,1.0,5,0,0,0,0,0,,0,,,,,7,0.0,0.0
2014-08-30,kouroussa,4,1.0,0,,0,,,0,,0,,,,,,8,,0,141,,48,,,,,,,,,,,,,,,,,,,,0,2.0,2,0,94,4,2.0,2,0,0,0,0,0,,0,,,,,1,0.0,0.0
2014-08-30,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,macenta,142,0.56,0,4,0,,12,0,2,0,,,,,,293,,64,434,,357,,,,,,,,,,,,,0,0,,,,,,8,117.0,11,14,680,80,69.0,11,0,6,16,0,0,,0,,,,0,74,16.0,14.0
2014-08-30,nzerekore,11,0.55,0,,0,,,13,,0,,,,,,77,,2,0,,79,,,,,,,,,,,,,,,,,,,,1,10.0,1,0,195,6,5.0,1,0,1,0,0,0,,0,,,,,7,4.0,6.0
2014-08-30,pita,6,0.67,0,,0,,,0,,0,,,,,,92,,5,116,,97,,,,,,,,,,,,,,,,,,,,0,5.0,1,0,137,4,3.0,1,0,0,0,0,0,,0,,,,,10,1.0,0.0
2014-08-30,siguiri,6,0.5,0,,0,,,0,,0,,,,,,0,,0,40,,0,,,,,,,,,,,,,,,,,,,,2,6.0,0,0,141,3,3.0,0,0,0,0,13,0,,0,,,,,8,0.0,0.0
2014-08-30,telimele,26,0.38,0,,0,,,0,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,2,23.0,3,0,259,10,7.0,3,0,1,0,41,0,,0,,,,,18,0.0,0.0
2014-08-30,yomou,11,0.27,0,,0,,1,0,,0,,,,,,35,,2,0,,37,,,,,,,,,,,,,,,,,,,,1,10.0,0,1,42,3,3.0,0,0,1,1,0,0,,0,,,,,3,0.0,0.0
2014-08-31,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,boffa,25,0.64,0,,0,,,0,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19.0,5,1,397,16,11.0,5,0,0,0,0,0,,0,,,,,19,0.0,0.0
